DateKey,Date,Week_No,Month,Month_short,Month_No,Quarter,Year
20220616,16/06/2022,25,June,Jun,6,2,2022
20220617,17/06/2022,25,June,Jun,6,2,2022
20220618,18/06/2022,25,June,Jun,6,2,2022
20220619,19/06/2022,26,June,Jun,6,2,2022
20220620,20/06/2022,26,June,Jun,6,2,2022
20220621,21/06/2022,26,June,Jun,6,2,2022
20220622,22/06/2022,26,June,Jun,6,2,2022
20220623,23/06/2022,26,June,Jun,6,2,2022
20220624,24/06/2022,26,June,Jun,6,2,2022
20220625,25/06/2022,26,June,Jun,6,2,2022
20220626,26/06/2022,27,June,Jun,6,2,2022
20220627,27/06/2022,27,June,Jun,6,2,2022
20220628,28/06/2022,27,June,Jun,6,2,2022
20220629,29/06/2022,27,June,Jun,6,2,2022
20220630,30/06/2022,27,June,Jun,6,2,2022
20220701,01/07/2022,27,July,Jul,7,3,2022
20220702,02/07/2022,27,July,Jul,7,3,2022
20220703,03/07/2022,28,July,Jul,7,3,2022
20220704,04/07/2022,28,July,Jul,7,3,2022
20220705,05/07/2022,28,July,Jul,7,3,2022
20220706,06/07/2022,28,July,Jul,7,3,2022
20220707,07/07/2022,28,July,Jul,7,3,2022
20220708,08/07/2022,28,July,Jul,7,3,2022
20220709,09/07/2022,28,July,Jul,7,3,2022
20220710,10/07/2022,29,July,Jul,7,3,2022
20220711,11/07/2022,29,July,Jul,7,3,2022
20220712,12/07/2022,29,July,Jul,7,3,2022
20220713,13/07/2022,29,July,Jul,7,3,2022
20220714,14/07/2022,29,July,Jul,7,3,2022
20220715,15/07/2022,29,July,Jul,7,3,2022
20220716,16/07/2022,29,July,Jul,7,3,2022
20220717,17/07/2022,30,July,Jul,7,3,2022
20220718,18/07/2022,30,July,Jul,7,3,2022
20220719,19/07/2022,30,July,Jul,7,3,2022
20220720,20/07/2022,30,July,Jul,7,3,2022
20220721,21/07/2022,30,July,Jul,7,3,2022
20220722,22/07/2022,30,July,Jul,7,3,2022
20220723,23/07/2022,30,July,Jul,7,3,2022
20220724,24/07/2022,31,July,Jul,7,3,2022
20220725,25/07/2022,31,July,Jul,7,3,2022
20220726,26/07/2022,31,July,Jul,7,3,2022
20220727,27/07/2022,31,July,Jul,7,3,2022
20220728,28/07/2022,31,July,Jul,7,3,2022
20220729,29/07/2022,31,July,Jul,7,3,2022
20220730,30/07/2022,31,July,Jul,7,3,2022
20220731,31/07/2022,32,July,Jul,7,3,2022
20220801,01/08/2022,32,August,Aug,8,3,2022
20220802,02/08/2022,32,August,Aug,8,3,2022
20220803,03/08/2022,32,August,Aug,8,3,2022
20220804,04/08/2022,32,August,Aug,8,3,2022
20220805,05/08/2022,32,August,Aug,8,3,2022
20220806,06/08/2022,32,August,Aug,8,3,2022
20220807,07/08/2022,33,August,Aug,8,3,2022
20220808,08/08/2022,33,August,Aug,8,3,2022
20220809,09/08/2022,33,August,Aug,8,3,2022
20220810,10/08/2022,33,August,Aug,8,3,2022
20220811,11/08/2022,33,August,Aug,8,3,2022
20220812,12/08/2022,33,August,Aug,8,3,2022
20220813,13/08/2022,33,August,Aug,8,3,2022
20220814,14/08/2022,34,August,Aug,8,3,2022
20220815,15/08/2022,34,August,Aug,8,3,2022
20220816,16/08/2022,34,August,Aug,8,3,2022
20220817,17/08/2022,34,August,Aug,8,3,2022
20220818,18/08/2022,34,August,Aug,8,3,2022
20220819,19/08/2022,34,August,Aug,8,3,2022
20220820,20/08/2022,34,August,Aug,8,3,2022
20220821,21/08/2022,35,August,Aug,8,3,2022
20220822,22/08/2022,35,August,Aug,8,3,2022
20220823,23/08/2022,35,August,Aug,8,3,2022
20220824,24/08/2022,35,August,Aug,8,3,2022
20220825,25/08/2022,35,August,Aug,8,3,2022
20220826,26/08/2022,35,August,Aug,8,3,2022
20220827,27/08/2022,35,August,Aug,8,3,2022
20220828,28/08/2022,36,August,Aug,8,3,2022
20220829,29/08/2022,36,August,Aug,8,3,2022
20220830,30/08/2022,36,August,Aug,8,3,2022
20220831,31/08/2022,36,August,Aug,8,3,2022
20220901,01/09/2022,36,September,Sep,9,3,2022
20220902,02/09/2022,36,September,Sep,9,3,2022
20220903,03/09/2022,36,September,Sep,9,3,2022
20220904,04/09/2022,37,September,Sep,9,3,2022
20220905,05/09/2022,37,September,Sep,9,3,2022
20220906,06/09/2022,37,September,Sep,9,3,2022
20220907,07/09/2022,37,September,Sep,9,3,2022
20220908,08/09/2022,37,September,Sep,9,3,2022
20220909,09/09/2022,37,September,Sep,9,3,2022
20220910,10/09/2022,37,September,Sep,9,3,2022
20220911,11/09/2022,38,September,Sep,9,3,2022
20220912,12/09/2022,38,September,Sep,9,3,2022
20220913,13/09/2022,38,September,Sep,9,3,2022
20220914,14/09/2022,38,September,Sep,9,3,2022
20220915,15/09/2022,38,September,Sep,9,3,2022
20220916,16/09/2022,38,September,Sep,9,3,2022
20220917,17/09/2022,38,September,Sep,9,3,2022
20220918,18/09/2022,39,September,Sep,9,3,2022
20220919,19/09/2022,39,September,Sep,9,3,2022
20220920,20/09/2022,39,September,Sep,9,3,2022
20220921,21/09/2022,39,September,Sep,9,3,2022
20220922,22/09/2022,39,September,Sep,9,3,2022
20220923,23/09/2022,39,September,Sep,9,3,2022
20220924,24/09/2022,39,September,Sep,9,3,2022
20220925,25/09/2022,40,September,Sep,9,3,2022
20220926,26/09/2022,40,September,Sep,9,3,2022
20220927,27/09/2022,40,September,Sep,9,3,2022
20220928,28/09/2022,40,September,Sep,9,3,2022
20220929,29/09/2022,40,September,Sep,9,3,2022
20220930,30/09/2022,40,September,Sep,9,3,2022
20221001,01/10/2022,40,October,Oct,10,4,2022
20221002,02/10/2022,41,October,Oct,10,4,2022
20221003,03/10/2022,41,October,Oct,10,4,2022
20221004,04/10/2022,41,October,Oct,10,4,2022
20221005,05/10/2022,41,October,Oct,10,4,2022
20221006,06/10/2022,41,October,Oct,10,4,2022
20221007,07/10/2022,41,October,Oct,10,4,2022
20221008,08/10/2022,41,October,Oct,10,4,2022
20221009,09/10/2022,42,October,Oct,10,4,2022
20221010,10/10/2022,42,October,Oct,10,4,2022
20221011,11/10/2022,42,October,Oct,10,4,2022
20221012,12/10/2022,42,October,Oct,10,4,2022
20221013,13/10/2022,42,October,Oct,10,4,2022
20221014,14/10/2022,42,October,Oct,10,4,2022
20221015,15/10/2022,42,October,Oct,10,4,2022
20221016,16/10/2022,43,October,Oct,10,4,2022
20221017,17/10/2022,43,October,Oct,10,4,2022
20221018,18/10/2022,43,October,Oct,10,4,2022
20221019,19/10/2022,43,October,Oct,10,4,2022
20221020,20/10/2022,43,October,Oct,10,4,2022
20221021,21/10/2022,43,October,Oct,10,4,2022
20221022,22/10/2022,43,October,Oct,10,4,2022
20221023,23/10/2022,44,October,Oct,10,4,2022
20221024,24/10/2022,44,October,Oct,10,4,2022
20221025,25/10/2022,44,October,Oct,10,4,2022
20221026,26/10/2022,44,October,Oct,10,4,2022
20221027,27/10/2022,44,October,Oct,10,4,2022
20221028,28/10/2022,44,October,Oct,10,4,2022
20221029,29/10/2022,44,October,Oct,10,4,2022
20221030,30/10/2022,45,October,Oct,10,4,2022
20221031,31/10/2022,45,October,Oct,10,4,2022
20221101,01/11/2022,45,November,Nov,11,4,2022
20221102,02/11/2022,45,November,Nov,11,4,2022
20221103,03/11/2022,45,November,Nov,11,4,2022
20221104,04/11/2022,45,November,Nov,11,4,2022
20221105,05/11/2022,45,November,Nov,11,4,2022
20221106,06/11/2022,46,November,Nov,11,4,2022
20221107,07/11/2022,46,November,Nov,11,4,2022
20221108,08/11/2022,46,November,Nov,11,4,2022
20221109,09/11/2022,46,November,Nov,11,4,2022
20221110,10/11/2022,46,November,Nov,11,4,2022
20221111,11/11/2022,46,November,Nov,11,4,2022
20221112,12/11/2022,46,November,Nov,11,4,2022
20221113,13/11/2022,47,November,Nov,11,4,2022
20221114,14/11/2022,47,November,Nov,11,4,2022
20221115,15/11/2022,47,November,Nov,11,4,2022
20221116,16/11/2022,47,November,Nov,11,4,2022
20221117,17/11/2022,47,November,Nov,11,4,2022
20221118,18/11/2022,47,November,Nov,11,4,2022
20221119,19/11/2022,47,November,Nov,11,4,2022
20221120,20/11/2022,48,November,Nov,11,4,2022
20221121,21/11/2022,48,November,Nov,11,4,2022
20221122,22/11/2022,48,November,Nov,11,4,2022
20221123,23/11/2022,48,November,Nov,11,4,2022
20221124,24/11/2022,48,November,Nov,11,4,2022
20221125,25/11/2022,48,November,Nov,11,4,2022
20221126,26/11/2022,48,November,Nov,11,4,2022
20221127,27/11/2022,49,November,Nov,11,4,2022
20221128,28/11/2022,49,November,Nov,11,4,2022
20221129,29/11/2022,49,November,Nov,11,4,2022
20221130,30/11/2022,49,November,Nov,11,4,2022
20221201,01/12/2022,49,December,Dec,12,4,2022
20221202,02/12/2022,49,December,Dec,12,4,2022
20221203,03/12/2022,49,December,Dec,12,4,2022
20221204,04/12/2022,50,December,Dec,12,4,2022
20221205,05/12/2022,50,December,Dec,12,4,2022
20221206,06/12/2022,50,December,Dec,12,4,2022
20221207,07/12/2022,50,December,Dec,12,4,2022
20221208,08/12/2022,50,December,Dec,12,4,2022
20221209,09/12/2022,50,December,Dec,12,4,2022
20221210,10/12/2022,50,December,Dec,12,4,2022
20221211,11/12/2022,51,December,Dec,12,4,2022
20221212,12/12/2022,51,December,Dec,12,4,2022
20221213,13/12/2022,51,December,Dec,12,4,2022
20221214,14/12/2022,51,December,Dec,12,4,2022
20221215,15/12/2022,51,December,Dec,12,4,2022
20221216,16/12/2022,51,December,Dec,12,4,2022
20221217,17/12/2022,51,December,Dec,12,4,2022
20221218,18/12/2022,52,December,Dec,12,4,2022
20221219,19/12/2022,52,December,Dec,12,4,2022
20221220,20/12/2022,52,December,Dec,12,4,2022
20221221,21/12/2022,52,December,Dec,12,4,2022
20221222,22/12/2022,52,December,Dec,12,4,2022
20221223,23/12/2022,52,December,Dec,12,4,2022
20221224,24/12/2022,52,December,Dec,12,4,2022
20221225,25/12/2022,53,December,Dec,12,4,2022
20221226,26/12/2022,53,December,Dec,12,4,2022
20221227,27/12/2022,53,December,Dec,12,4,2022
20221228,28/12/2022,53,December,Dec,12,4,2022
20221229,29/12/2022,53,December,Dec,12,4,2022
20221230,30/12/2022,53,December,Dec,12,4,2022
20221231,31/12/2022,53,December,Dec,12,4,2022
20230101,01/01/2023,1,January,Jan,1,1,2023
20230102,02/01/2023,1,January,Jan,1,1,2023
20230103,03/01/2023,1,January,Jan,1,1,2023
20230104,04/01/2023,1,January,Jan,1,1,2023
20230105,05/01/2023,1,January,Jan,1,1,2023
20230106,06/01/2023,1,January,Jan,1,1,2023
20230107,07/01/2023,1,January,Jan,1,1,2023
20230108,08/01/2023,2,January,Jan,1,1,2023
20230109,09/01/2023,2,January,Jan,1,1,2023
20230110,10/01/2023,2,January,Jan,1,1,2023
20230111,11/01/2023,2,January,Jan,1,1,2023
20230112,12/01/2023,2,January,Jan,1,1,2023
20230113,13/01/2023,2,January,Jan,1,1,2023
20230114,14/01/2023,2,January,Jan,1,1,2023
20230115,15/01/2023,3,January,Jan,1,1,2023
20230116,16/01/2023,3,January,Jan,1,1,2023
20230117,17/01/2023,3,January,Jan,1,1,2023
20230118,18/01/2023,3,January,Jan,1,1,2023
20230119,19/01/2023,3,January,Jan,1,1,2023
20230120,20/01/2023,3,January,Jan,1,1,2023
20230121,21/01/2023,3,January,Jan,1,1,2023
20230122,22/01/2023,4,January,Jan,1,1,2023
20230123,23/01/2023,4,January,Jan,1,1,2023
20230124,24/01/2023,4,January,Jan,1,1,2023
20230125,25/01/2023,4,January,Jan,1,1,2023
20230126,26/01/2023,4,January,Jan,1,1,2023
20230127,27/01/2023,4,January,Jan,1,1,2023
20230128,28/01/2023,4,January,Jan,1,1,2023
20230129,29/01/2023,5,January,Jan,1,1,2023
20230130,30/01/2023,5,January,Jan,1,1,2023
20230131,31/01/2023,5,January,Jan,1,1,2023
20230201,01/02/2023,5,February,Feb,2,1,2023
20230202,02/02/2023,5,February,Feb,2,1,2023
20230203,03/02/2023,5,February,Feb,2,1,2023
20230204,04/02/2023,5,February,Feb,2,1,2023
20230205,05/02/2023,6,February,Feb,2,1,2023
20230206,06/02/2023,6,February,Feb,2,1,2023
20230207,07/02/2023,6,February,Feb,2,1,2023
20230208,08/02/2023,6,February,Feb,2,1,2023
20230209,09/02/2023,6,February,Feb,2,1,2023
20230210,10/02/2023,6,February,Feb,2,1,2023
20230211,11/02/2023,6,February,Feb,2,1,2023
20230212,12/02/2023,7,February,Feb,2,1,2023
20230213,13/02/2023,7,February,Feb,2,1,2023
20230214,14/02/2023,7,February,Feb,2,1,2023
20230215,15/02/2023,7,February,Feb,2,1,2023
20230216,16/02/2023,7,February,Feb,2,1,2023
20230217,17/02/2023,7,February,Feb,2,1,2023
20230218,18/02/2023,7,February,Feb,2,1,2023
20230219,19/02/2023,8,February,Feb,2,1,2023
20230220,20/02/2023,8,February,Feb,2,1,2023
20230221,21/02/2023,8,February,Feb,2,1,2023
20230222,22/02/2023,8,February,Feb,2,1,2023
20230223,23/02/2023,8,February,Feb,2,1,2023
20230224,24/02/2023,8,February,Feb,2,1,2023
20230225,25/02/2023,8,February,Feb,2,1,2023
20230226,26/02/2023,9,February,Feb,2,1,2023
20230227,27/02/2023,9,February,Feb,2,1,2023
20230228,28/02/2023,9,February,Feb,2,1,2023
20230301,01/03/2023,9,March,Mar,3,1,2023
20230302,02/03/2023,9,March,Mar,3,1,2023
20230303,03/03/2023,9,March,Mar,3,1,2023
20230304,04/03/2023,9,March,Mar,3,1,2023
20230305,05/03/2023,10,March,Mar,3,1,2023
20230306,06/03/2023,10,March,Mar,3,1,2023
20230307,07/03/2023,10,March,Mar,3,1,2023
20230308,08/03/2023,10,March,Mar,3,1,2023
20230309,09/03/2023,10,March,Mar,3,1,2023
20230310,10/03/2023,10,March,Mar,3,1,2023
20230311,11/03/2023,10,March,Mar,3,1,2023
20230312,12/03/2023,11,March,Mar,3,1,2023
20230313,13/03/2023,11,March,Mar,3,1,2023
20230314,14/03/2023,11,March,Mar,3,1,2023
20230315,15/03/2023,11,March,Mar,3,1,2023
20230316,16/03/2023,11,March,Mar,3,1,2023
20230317,17/03/2023,11,March,Mar,3,1,2023
20230318,18/03/2023,11,March,Mar,3,1,2023
20230319,19/03/2023,12,March,Mar,3,1,2023
20230320,20/03/2023,12,March,Mar,3,1,2023
20230321,21/03/2023,12,March,Mar,3,1,2023
20230322,22/03/2023,12,March,Mar,3,1,2023
20230323,23/03/2023,12,March,Mar,3,1,2023
20230324,24/03/2023,12,March,Mar,3,1,2023
20230325,25/03/2023,12,March,Mar,3,1,2023
20230326,26/03/2023,13,March,Mar,3,1,2023
20230327,27/03/2023,13,March,Mar,3,1,2023
20230328,28/03/2023,13,March,Mar,3,1,2023
20230329,29/03/2023,13,March,Mar,3,1,2023
20230330,30/03/2023,13,March,Mar,3,1,2023
20230331,31/03/2023,13,March,Mar,3,1,2023
20230401,01/04/2023,13,April,Apr,4,2,2023
20230402,02/04/2023,14,April,Apr,4,2,2023
20230403,03/04/2023,14,April,Apr,4,2,2023
20230404,04/04/2023,14,April,Apr,4,2,2023
20230405,05/04/2023,14,April,Apr,4,2,2023
20230406,06/04/2023,14,April,Apr,4,2,2023
20230407,07/04/2023,14,April,Apr,4,2,2023
20230408,08/04/2023,14,April,Apr,4,2,2023
20230409,09/04/2023,15,April,Apr,4,2,2023
20230410,10/04/2023,15,April,Apr,4,2,2023
20230411,11/04/2023,15,April,Apr,4,2,2023
20230412,12/04/2023,15,April,Apr,4,2,2023
20230413,13/04/2023,15,April,Apr,4,2,2023
20230414,14/04/2023,15,April,Apr,4,2,2023
20230415,15/04/2023,15,April,Apr,4,2,2023
20230416,16/04/2023,16,April,Apr,4,2,2023
20230417,17/04/2023,16,April,Apr,4,2,2023
20230418,18/04/2023,16,April,Apr,4,2,2023
20230419,19/04/2023,16,April,Apr,4,2,2023
20230420,20/04/2023,16,April,Apr,4,2,2023
20230421,21/04/2023,16,April,Apr,4,2,2023
20230422,22/04/2023,16,April,Apr,4,2,2023
20230423,23/04/2023,17,April,Apr,4,2,2023
20230424,24/04/2023,17,April,Apr,4,2,2023
20230425,25/04/2023,17,April,Apr,4,2,2023
20230426,26/04/2023,17,April,Apr,4,2,2023
20230427,27/04/2023,17,April,Apr,4,2,2023
20230428,28/04/2023,17,April,Apr,4,2,2023
20230429,29/04/2023,17,April,Apr,4,2,2023
20230430,30/04/2023,18,April,Apr,4,2,2023
20230501,01/05/2023,18,May,May,5,2,2023
20230502,02/05/2023,18,May,May,5,2,2023
20230503,03/05/2023,18,May,May,5,2,2023
20230504,04/05/2023,18,May,May,5,2,2023
20230505,05/05/2023,18,May,May,5,2,2023
20230506,06/05/2023,18,May,May,5,2,2023
20230507,07/05/2023,19,May,May,5,2,2023
20230508,08/05/2023,19,May,May,5,2,2023
20230509,09/05/2023,19,May,May,5,2,2023
20230510,10/05/2023,19,May,May,5,2,2023
20230511,11/05/2023,19,May,May,5,2,2023
20230512,12/05/2023,19,May,May,5,2,2023
20230513,13/05/2023,19,May,May,5,2,2023
20230514,14/05/2023,20,May,May,5,2,2023
20230515,15/05/2023,20,May,May,5,2,2023
20230516,16/05/2023,20,May,May,5,2,2023
20230517,17/05/2023,20,May,May,5,2,2023
20230518,18/05/2023,20,May,May,5,2,2023
20230519,19/05/2023,20,May,May,5,2,2023
20230520,20/05/2023,20,May,May,5,2,2023
20230521,21/05/2023,21,May,May,5,2,2023
20230522,22/05/2023,21,May,May,5,2,2023
20230523,23/05/2023,21,May,May,5,2,2023
20230524,24/05/2023,21,May,May,5,2,2023
20230525,25/05/2023,21,May,May,5,2,2023
20230526,26/05/2023,21,May,May,5,2,2023
20230527,27/05/2023,21,May,May,5,2,2023
20230528,28/05/2023,22,May,May,5,2,2023
20230529,29/05/2023,22,May,May,5,2,2023
20230530,30/05/2023,22,May,May,5,2,2023
20230531,31/05/2023,22,May,May,5,2,2023
20230601,01/06/2023,22,June,Jun,6,2,2023
20230602,02/06/2023,22,June,Jun,6,2,2023
20230603,03/06/2023,22,June,Jun,6,2,2023
20230604,04/06/2023,23,June,Jun,6,2,2023
20230605,05/06/2023,23,June,Jun,6,2,2023
20230606,06/06/2023,23,June,Jun,6,2,2023
20230607,07/06/2023,23,June,Jun,6,2,2023
20230608,08/06/2023,23,June,Jun,6,2,2023
20230609,09/06/2023,23,June,Jun,6,2,2023
20230610,10/06/2023,23,June,Jun,6,2,2023
20230611,11/06/2023,24,June,Jun,6,2,2023
20230612,12/06/2023,24,June,Jun,6,2,2023
20230613,13/06/2023,24,June,Jun,6,2,2023
20230614,14/06/2023,24,June,Jun,6,2,2023
20230615,15/06/2023,24,June,Jun,6,2,2023
20230616,16/06/2023,24,June,Jun,6,2,2023
20230617,17/06/2023,24,June,Jun,6,2,2023
20230618,18/06/2023,25,June,Jun,6,2,2023
20230619,19/06/2023,25,June,Jun,6,2,2023
20230620,20/06/2023,25,June,Jun,6,2,2023
20230621,21/06/2023,25,June,Jun,6,2,2023
20230622,22/06/2023,25,June,Jun,6,2,2023
20230623,23/06/2023,25,June,Jun,6,2,2023
20230624,24/06/2023,25,June,Jun,6,2,2023
